"","Country","Year","Status","Life.expectancy","Adult.Mortality","infant.deaths","Alcohol","percentage.expenditure","Hepatitis.B","Measles","BMI","under.five.deaths","Polio","Total.expenditure","Diphtheria","HIV.AIDS","GDP","Population","thinness..1.19.years","thinness.5.9.years","Income.composition.of.resources","Schooling"
"592","Colombia",2000,"Developing",71.4,167,18,4.66,477.1341814,78,1,46.7,21,82,5.91,79,0.1,2472.197831,443958,2.6,2.3,0.65,11.3
"604","Comoros",2004,"Developing",59.8,269,2,0.27,7.212110766,77,0,18.8,2,73,3.96,76,0.1,616.4197236,597228,7.5,7.5,0,9.5
"605","Comoros",2003,"Developing",59.6,271,2,0.26,45.09010835,28,0,18.4,2,8,3.65,8,0.1,544.566526,583211,7.6,7.6,0,9.2
"606","Comoros",2002,"Developing",59.5,271,2,0.08,29.41897495,NA,0,18,2,98,3.39,89,0.1,433.2691451,569479,7.7,7.7,0,8.8
"607","Comoros",2001,"Developing",59.5,272,1,0.08,19.71741043,NA,0,17.6,2,7,2.86,7,0.1,395.9319363,555888,7.8,7.8,0,8.5
"608","Comoros",2000,"Developing",59.5,272,1,0.09,35.02948624,NA,0,17.3,2,7,3.56,7,0.1,375.8528566,542357,7.9,7.9,0,8.2
"637","Costa Rica",2004,"Developing",77.7,12,1,4.09,1043.10795,89,0,49.3,1,9,7.8,9,0.1,4425.57467,418738,2.1,2,0.719,12.2
"638","Costa Rica",2003,"Developing",78,1,1,4.04,1070.268999,86,1,48.3,1,88,8.45,88,0.1,4167.71417,4125971,2.2,2.1,0.715,12.1
"639","Costa Rica",2002,"Developing",78.3,99,1,4.17,112.9493745,94,0,47.3,1,94,8.23,94,0.1,462.14965,46324,2.2,2.2,0.712,11.9
"640","Costa Rica",2001,"Developing",77.5,1,1,4.29,868.3713593,8,0,46.4,1,92,7.25,91,0.1,3981.52847,3996798,2.3,2.2,0.708,11.7
"641","Costa Rica",2000,"Developing",77.6,98,1,4.34,94.17819458,89,0,45.4,1,8,7.12,88,0.1,388.363689,3925443,2.4,2.3,0.702,11.6
"653","Croatia",2004,"Developed",75.4,114,0,13.11,1116.396502,NA,54,56.9,0,96,6.56,96,0.1,9365.742468,4439,1.9,1.9,0.771,13.3
"654","Croatia",2003,"Developed",74.7,122,0,13.78,93.67706503,NA,19,56.3,0,95,6.35,94,0.1,785.881418,444,1.9,1.9,0.765,12.9
"655","Croatia",2002,"Developed",74.8,124,0,13.39,11.63615139,NA,6,55.8,0,95,6.19,95,0.1,653.71637,444,2,2,0.759,12.6
"656","Croatia",2001,"Developed",74.9,126,0,13.15,650.9567981,NA,8,55.2,0,94,7.16,94,0.1,5245.421419,444,2,2,0.749,12.3
"657","Croatia",2000,"Developed",74.7,127,0,12.73,649.3909871,NA,9,54.7,0,94,7.66,93,0.1,4919.62869,4426,2.1,2.1,0.739,12.2
"669","Cuba",2004,"Developing",77.3,17,1,4.38,4.484254579,99,0,53,1,98,6.14,88,0.1,339.716256,NA,3.4,3.3,0.705,13.2
"670","Cuba",2003,"Developing",77.4,18,1,4.39,60.34145124,99,0,52.1,1,98,6.31,72,0.1,3192.669378,NA,3.5,3.3,0.694,12.9
"671","Cuba",2002,"Developing",77.7,19,1,4.1,334.7672107,98,0,51.3,1,98,6.5,99,0.1,2994.339988,NA,3.5,3.3,0.692,12.5
"672","Cuba",2001,"Developing",76.7,115,1,4.04,322.5863149,98,0,5.4,1,99,6.27,98,0.1,2832.188893,NA,3.6,3.4,0.686,12.3
"673","Cuba",2000,"Developing",76.9,115,1,3.92,49.34007756,98,0,49.4,1,98,6.7,95,0.1,2741.11542,NA,3.6,3.4,0.679,12.1
"685","Cyprus",2004,"Developed",78.6,65,0,13.03,1586.724172,88,0,54.8,0,98,6.42,98,0.1,23932.49128,1141,0.9,1,0.823,13.4
"686","Cyprus",2003,"Developed",78.5,66,0,10.62,158.7087399,88,0,54.3,0,98,6.83,98,0.1,2293.4789,993563,0.9,1,0.815,13
"687","Cyprus",2002,"Developed",78.4,68,0,11.68,1128.050886,88,0,53.8,0,98,6.12,98,0.1,16372.29152,976966,0.9,1,0.805,12.5
"688","Cyprus",2001,"Developed",78.2,69,0,10.16,100.8086193,89,0,53.3,0,97,5.78,97,0.1,1562.92433,96282,0.9,1,0.8,12.4
"689","Cyprus",2000,"Developed",78.1,7,0,9.56,950.8027925,89,0,52.8,0,97,5.77,97,0.1,14672.8826,943286,0.9,1,0.798,12.5
"749","Denmark",2004,"Developed",77.7,98,0,11.27,6948.839868,NA,0,54.4,0,95,9.67,95,0.1,46511.6457,544523,1.2,1,0.893,16.5
"750","Denmark",2003,"Developed",77.3,11,0,11.54,650.9813544,NA,0,53.9,0,96,9.51,96,0.1,4458.7764,539574,1.2,1,0.882,16.3
"751","Denmark",2002,"Developed",77,14,0,11.34,4801.546125,NA,32,53.3,0,98,9.33,98,0.1,33228.69291,5375931,1.2,1,0.875,16.6
"752","Denmark",2001,"Developed",77,12,0,11.56,530.4832336,NA,11,52.8,0,97,9.1,97,0.1,3751.64946,5358783,1.3,1,0.862,16.2
"753","Denmark",2000,"Developed",76.9,12,0,11.69,508.7496912,NA,14,52.2,0,97,8.7,97,0.1,3743.55917,5339616,1.3,1,0.86,16.5
"765","Djibouti",2004,"Developing",58.1,326,2,1.18,106.0354659,NA,71,29.8,2,64,6.76,64,4,864.184726,77752,6,5.9,0.388,3.7
"766","Djibouti",2003,"Developing",58,325,2,1.02,94.13302875,NA,37,29.4,2,68,6.22,68,4.2,819.974118,758615,6.1,5.9,0.378,3.5
"767","Djibouti",2002,"Developing",57.9,322,2,1.03,13.46662004,NA,50,29,2,62,5.45,62,4.3,792.15412,746221,6.2,6,0.372,3.3
"768","Djibouti",2001,"Developing",57.7,323,2,0.95,92.4978948,NA,79,28.6,2,49,5.37,53,4.3,781.2322196,732711,6.3,6.1,0.363,2.9
"769","Djibouti",2000,"Developing",57.4,325,2,1.34,91.95075901,NA,183,28.2,2,46,5.75,46,4.1,768.176767,717584,6.4,6.1,0.361,2.9
"782","Dominican Republic",2004,"Developing",69.3,214,7,5.16,182.6162515,82,0,47.2,8,66,4.28,79,2.1,2421.9662,912998,3.6,3.5,0.666,12.5
"783","Dominican Republic",2003,"Developing",73,22,7,6.32,293.0196601,79,0,46.1,8,65,5.53,79,2.3,2372.628827,896776,3.6,3.5,0.665,12.4
"784","Dominican Republic",2002,"Developing",71.4,189,7,6.43,4.67359227,63,0,45.1,8,74,5.79,82,2.4,38.46578,8832285,3.7,3.6,0.66,12.3
"785","Dominican Republic",2001,"Developing",71.2,188,7,6.13,340.0239945,66,113,44.1,9,71,5.59,72,2.5,2862.154836,8697126,3.8,3.6,0.656,12.3
"786","Dominican Republic",2000,"Developing",72,176,7,6.58,44.79247812,68,253,43.1,9,71,5.9,78,2.5,282.4242,8562622,3.8,3.7,0.651,12.2
"798","Ecuador",2004,"Developing",74.4,148,8,3.65,16.37920405,88,0,46.5,9,9,6.22,88,0.3,278.557892,1359647,1.5,1.3,0.682,12.7
"799","Ecuador",2003,"Developing",74.4,151,8,3.69,18.26183281,82,0,45.8,10,97,6.46,87,0.3,244.46898,1328961,1.5,1.4,0.679,12.6
"800","Ecuador",2002,"Developing",73.6,157,8,3.88,187.3843511,75,0,45.1,10,88,4.62,88,0.3,2183.966796,13726,1.5,1.4,0.675,12.5
"801","Ecuador",2001,"Developing",73.4,158,9,4.13,14.5887403,69,2,44.3,10,9,3.86,89,0.3,193.741571,12852755,1.6,1.5,0.67,12.4
"802","Ecuador",2000,"Developing",72.8,163,9,3.99,84.17527008,36,0,43.6,11,83,3.38,87,0.3,1451.29776,12628596,1.6,1.5,0.668,12.4
"830","El Salvador",2004,"Developing",70,215,3,2.9,398.6058322,9,0,48.6,3,9,7.3,9,0.3,2632.79942,6775,1.9,1.8,0.636,12.4
"831","El Salvador",2003,"Developing",69.9,29,3,3.1,400.1342971,94,0,47.8,4,93,7.61,94,0.3,2519.737387,5971535,2,1.9,0.628,12
"832","El Salvador",2002,"Developing",73,24,3,2.97,29.68529375,81,0,47,4,81,7.9,81,0.4,248.4125,59433,2,1.9,0.621,11.8
"833","El Salvador",2001,"Developing",68.9,219,4,2.88,332.1056586,75,2,46.2,4,94,8.2,92,0.4,2338.772244,595962,2.1,2,0.615,11.6
"834","El Salvador",2000,"Developing",69,218,4,2.79,353.6690328,99,0,45.3,5,98,8.17,99,0.4,2238.4116,5867626,2.1,2,0.607,11.3
"846","Equatorial Guinea",2004,"Developing",54.1,336,3,6.28,44.54768305,NA,38,19.8,4,48,2.4,38,4.4,685.34897,724817,1,1,0.553,8.5
"847","Equatorial Guinea",2003,"Developing",53.8,334,3,7.13,309.7834587,NA,18,19.5,4,46,2.23,37,3.6,3577.176197,694611,1.2,1.1,0.554,8.4
"848","Equatorial Guinea",2002,"Developing",53.5,334,3,6.01,234.7874207,NA,24,19.1,4,44,2.5,36,2.9,2711.17114,66647,1.4,1.3,0.542,8.2
"849","Equatorial Guinea",2001,"Developing",53.1,334,3,5.07,197.7839552,NA,1339,18.7,4,43,1.78,35,2.3,2283.87939,639762,1.6,1.4,0.527,8
"850","Equatorial Guinea",2000,"Developing",52.7,336,3,4.46,14.95451321,NA,0,18.3,4,41,2.73,34,1.9,172.68491,614323,1.7,1.6,0,0
"862","Eritrea",2004,"Developing",59.1,342,7,0.64,10.26097341,84,24,13.6,10,98,3.14,98,1.8,287.4222243,3858623,9.6,9.6,0,5
"863","Eritrea",2003,"Developing",58.8,343,7,0.56,6.913998013,91,376,13.3,10,95,3.5,93,1.9,232.7945459,3738265,9.7,9.7,0,4.7
"864","Eritrea",2002,"Developing",58.5,343,7,0.83,0.703132179,86,460,13.1,10,92,4.2,9,1.9,21.7687981,3614639,9.9,9.9,0,4.4
"865","Eritrea",2001,"Developing",58.1,345,7,0.61,5.593619538,NA,204,12.8,10,89,3.95,86,2,215.139213,3497124,1,1,0,4.3
"866","Eritrea",2000,"Developing",45.3,593,7,0.83,0.735940361,NA,789,12.6,10,82,4.43,81,1.9,28.1969487,339281,1.2,1.1,0,3.9
"878","Estonia",2004,"Developing",72.3,195,0,15.07,101.1201161,9,0,55.2,0,95,5.13,94,0.1,885.465115,136255,2.2,2.3,0.805,15.7
"879","Estonia",2003,"Developing",71.9,199,0,11.64,132.7233922,NA,0,54.9,0,95,4.92,94,0.1,7174.237415,13772,2.2,2.3,0.798,15.6
"880","Estonia",2002,"Developing",71.2,211,0,11.48,7.806042825,NA,0,54.6,0,94,4.84,94,0.1,538.347781,137935,2.3,2.4,0.791,15.4
"881","Estonia",2001,"Developing",78,225,0,0.01,88.62945822,NA,0,54.3,0,94,4.85,94,0.1,4498.95727,1388115,2.4,2.5,0.781,15
"882","Estonia",2000,"Developing",78,218,0,0.01,5.34809451,NA,9,54,0,93,5.28,93,0.1,47.32827,1396985,2.5,2.5,0.764,14.4
"894","Ethiopia",2004,"Developing",55,354,217,0.86,1.506962482,NA,73,13.5,342,54,4.23,4,4.1,135.7623858,7462445,11.5,11.3,0.31,5.4
"895","Ethiopia",2003,"Developing",54,363,228,0.79,10.97201912,NA,228,13.2,360,55,4.64,37,4.4,118.8734466,72545144,11.6,11.5,0.306,5.2
"896","Ethiopia",2002,"Developing",53.2,369,237,0.8,10.82452594,NA,3332,12.9,377,55,4.73,35,4.6,111.3634356,7497192,11.7,11.6,0.298,4.9
"897","Ethiopia",2001,"Developing",52.5,372,246,0.85,1.186227577,NA,2366,12.6,392,55,4.26,32,4.9,12.1789279,68492257,11.8,11.7,0.283,4.3
"898","Ethiopia",2000,"Developing",51.2,391,253,0.88,11.59481766,NA,1660,12.3,404,55,4.36,3,5,123.876257,66537331,11.9,11.8,0,3.9
"910","Fiji",2004,"Developing",68.1,218,0,1.63,43.99452464,99,37,54.2,0,96,3.61,95,0.1,3332.918533,818354,4.2,3.9,0.691,13.4
"911","Fiji",2003,"Developing",68,22,0,1.76,253.8196705,99,305,53.2,0,95,3.35,94,0.1,2835.973972,816628,4.2,3.9,0.689,13.3
"912","Fiji",2002,"Developing",67.9,22,0,1.85,206.071686,99,304,52.2,0,94,3.48,93,0.1,2259.55796,815691,4.2,3.9,0.687,13.3
"913","Fiji",2001,"Developing",67.8,221,0,1.93,20.7119129,98,17,51.2,0,92,3.28,91,0.1,238.891729,814218,4.3,4,0.683,13.2
"914","Fiji",2000,"Developing",67.7,221,0,2.05,31.25834616,98,0,5.2,0,91,3.87,9,0.1,276.1338,811223,4.3,4,0.681,13.1
"926","Finland",2004,"Developing",78.7,12,0,9.89,4508.806185,NA,0,57.6,0,96,8.21,98,0.1,37636.11173,5228172,0.9,0.8,0.869,18.3
"927","Finland",2003,"Developing",78.4,98,0,9.31,3869.026302,NA,0,57.1,0,96,8.15,98,0.1,32816.1688,521314,0.9,0.8,0.866,18.1
"928","Finland",2002,"Developing",78.1,98,0,9.25,3099.357319,NA,0,56.6,0,95,7.81,98,0.1,26834.2625,52598,0.9,0.8,0.863,18
"929","Finland",2001,"Developing",78,1,0,8.94,2775.33544,NA,1,56.1,0,95,7.43,98,0.1,24913.24452,51888,0.9,0.8,0.856,17.7
"930","Finland",2000,"Developing",77.5,15,0,8.59,397.7533689,NA,0,55.5,0,96,7.22,99,0.1,24253.2542,517629,0.9,0.9,0.847,17.3
"942","France",2004,"Developing",82,94,3,13.18,5291.234786,35,4448,57,4,99,1.53,98,0.1,33874.74255,6274897,0.6,0.6,0.857,15.5
"943","France",2003,"Developing",79.3,99,3,13.49,4572.441963,28,0,56.4,4,96,1.43,97,0.1,29691.18158,62244884,0.6,0.6,0.852,15.4
"944","France",2002,"Developing",79.2,11,3,13.78,3779.655273,29,5185,55.8,4,97,1.22,97,0.1,24275.2426,6185267,0.7,0.6,0.851,15.5
"945","France",2001,"Developing",79,13,3,13.89,3451.185079,28,0,55.2,4,98,9.89,97,0.1,22527.31775,61357431,0.7,0.6,0.849,15.6
"946","France",2000,"Developing",78.8,13,3,13.63,3410.284431,26,10000,54.6,4,98,9.77,97,0.1,22465.64184,6912498,0.7,0.6,0.844,15.7
"958","Gabon",2004,"Developing",59.7,322,2,8.13,443.4750634,NA,63,3.3,3,44,3.26,45,11.1,5685.577736,136425,7.4,7.2,0.64,12.3
"959","Gabon",2003,"Developing",59.7,32,2,6.47,352.232365,NA,0,29.8,3,44,3.48,45,11,4892.11618,1328146,7.5,7.4,0.638,12.3
"960","Gabon",2002,"Developing",59.7,315,2,8.34,22.69039905,NA,110,29.2,3,44,3.22,45,10.7,412.55271,129449,7.7,7.5,0.636,12.3
"961","Gabon",2001,"Developing",59.8,37,2,9.29,183.6980778,NA,5129,28.7,3,44,3.23,45,10.1,3976.14887,1262259,7.8,7.7,0.633,12.3
"962","Gabon",2000,"Developing",61,296,2,8.87,218.1727473,NA,15,28.1,3,44,2.89,45,9.5,4116.46693,1231122,8,7.8,0.637,12.2
"990","Georgia",2004,"Developing",72.3,134,1,3.74,7.132564768,64,6847,48.1,1,66,8.53,78,0.1,127.367228,4245,2.8,3,0.694,12
"991","Georgia",2003,"Developing",72.7,132,1,3.36,70.54185252,48,216,47.5,2,74,8.49,75,0.1,928.18227,431,2.9,3,0.684,11.8
"992","Georgia",2002,"Developing",71.7,142,2,2.72,60.55818291,51,199,47,2,89,8.72,84,0.1,779.3845935,4357,2.9,3,0.677,11.8
"993","Georgia",2001,"Developing",73,121,2,2.76,57.10318825,61,35,46.5,2,83,7.82,87,0.1,733.974142,43864,3,3.1,0.673,11.7
"994","Georgia",2000,"Developing",71.8,129,2,3.28,47.81704183,55,50,46,2,81,6.94,8,0.1,691.997711,44183,3.1,3.1,0,11.4
"1006","Germany",2004,"Developed",79.1,86,3,11.83,5842.374765,88,121,57.1,3,96,1.37,96,0.1,34165.9343,8251626,1.1,1.1,0.877,16.4
"1007","Germany",2003,"Developed",78.5,9,3,11.92,582.6157028,9,779,56.6,4,96,1.62,97,0.1,3359.95215,82534176,1.1,1.1,0.872,16.3
"1008","Germany",2002,"Developed",78.4,91,3,12.25,437.1059663,87,4657,56.1,4,97,1.4,93,0.1,2525.16445,82488495,1.2,1.1,0.867,16.3
"1009","Germany",2001,"Developed",78.3,92,3,12.46,4057.637383,86,6024,55.6,4,96,1.15,93,0.1,23687.31689,82349925,1.2,1.1,0.86,16.2
"1010","Germany",2000,"Developed",78,95,3,12.91,4238.540035,84,0,55.1,4,94,1.1,9,0.1,23718.7467,8221158,1.2,1.2,0.855,16.2
"1022","Ghana",2004,"Developing",58.3,34,41,1.46,53.23775977,8,60,21.8,62,81,3.96,8,3.2,423.1936389,2986536,8.4,8.3,0.491,7.7
"1023","Ghana",2003,"Developing",57.9,38,41,1.53,31.09435342,8,1939,21.2,63,8,3.12,8,3.4,373.2815537,2446782,8.6,8.5,0.489,7.9
"1024","Ghana",2002,"Developing",57.6,31,42,1.6,3.336437969,8,12289,2.7,63,8,3.7,78,3.5,39.484473,19924522,8.8,8.8,0.484,7.6
"1025","Ghana",2001,"Developing",57.4,39,42,1.49,25.55981288,NA,13476,2.1,64,81,3.56,79,3.5,273.6596668,1942165,9,9,0.485,8
"1026","Ghana",2000,"Developing",57.2,38,43,1.6,20.65432873,NA,23068,19.5,65,88,3,88,3.6,263.1124679,18938762,9.2,9.2,0.48,7.7
"1038","Greece",2004,"Developing",79.2,81,0,9.56,287.6124519,92,1,59.9,1,95,8.3,95,0.1,21955.149,1955141,0.8,0.8,0.83,15.3
"1039","Greece",2003,"Developing",79.1,81,0,9.46,2124.921517,92,0,59.2,1,93,8.61,94,0.1,18477.57841,19287,0.8,0.8,0.823,15.2
"1040","Greece",2002,"Developing",79,81,1,8.09,160.8897265,91,5,58.6,1,92,8.72,92,0.1,1411.31339,19222,0.8,0.8,0.811,14.6
"1041","Greece",2001,"Developing",78.7,83,1,8.62,1403.022211,9,12,58,1,9,8.47,91,0.1,12538.17883,1862132,0.9,0.8,0.801,14.2
"1042","Greece",2000,"Developing",78.2,84,1,8.48,122.1823517,89,56,57.4,1,89,7.6,89,0.1,1242.95373,18588,0.9,0.8,0.794,13.9
"1054","Grenada",2004,"Developing",73,187,0,8.43,100.965873,83,0,39.9,0,84,5.24,83,0.1,5836.17763,NA,4,4,0,14.8
"1055","Grenada",2003,"Developing",71.1,173,0,9.75,77.9454329,97,0,39.4,0,98,5.89,97,0.1,5773.73577,NA,4,4.1,0,14.6
"1056","Grenada",2002,"Developing",79,176,0,10.71,513.3465408,98,0,38.8,0,98,6.67,98,0.1,5292.232379,NA,4.1,4.1,0,14.4
"1057","Grenada",2001,"Developing",77,178,0,9.61,81.11355954,96,0,38.2,0,96,7.67,96,0.1,519.958715,NA,4.2,4.2,0,14.3
"1058","Grenada",2000,"Developing",74,182,0,9.4,676.5453878,NA,0,37.7,0,97,6.62,97,0.1,5117.589923,NA,4.3,4.2,0,14.1
"1070","Guatemala",2004,"Developing",69.6,21,15,2.4,288.4016258,NA,0,43.1,18,88,6.77,87,0.4,1872.73783,12796925,1.4,1.4,0.564,9.3
"1071","Guatemala",2003,"Developing",69.4,24,15,2.45,249.3262948,NA,0,42.4,19,84,6.88,84,0.4,1753.349471,125478,1.4,1.4,0.56,9
"1072","Guatemala",2002,"Developing",69.3,21,16,2.41,25.25040918,NA,0,41.7,20,82,6.71,82,0.3,171.771491,1228848,1.5,1.5,0.553,8.8
"1073","Guatemala",2001,"Developing",68.4,211,16,2.53,225.0619956,NA,0,41.1,20,78,6.76,77,0.3,1568.376276,11924946,1.5,1.5,0.546,8.5
"1074","Guatemala",2000,"Developing",67.7,221,17,2.63,238.7369808,NA,0,4.4,21,8,5.25,81,0.2,1655.596261,1165743,1.6,1.6,0.539,8.2
"1086","Guinea",2004,"Developing",54,334,33,0.34,18.93011259,NA,10,18.1,53,65,3.14,6,2.8,386.3288283,949229,9.5,9.5,0.325,5.1
"1087","Guinea",2003,"Developing",53.3,338,34,0.18,2.39524067,NA,2497,17.7,55,61,3.45,57,2.9,37.1931781,939848,9.7,9.7,0.338,5.9
"1088","Guinea",2002,"Developing",52.9,337,35,0.21,21.3378184,NA,2151,17.3,56,56,3.76,53,3,322.811171,9137345,9.9,9.9,0.329,5.5
"1089","Guinea",2001,"Developing",52.5,336,36,0.17,19.89790929,NA,7408,16.9,58,52,3.65,5,3,315.83983,8971139,1.1,1.1,0.322,5.1
"1090","Guinea",2000,"Developing",52.5,328,37,0.17,2.215986136,NA,11294,16.6,60,47,3.46,46,3,34.516918,888546,1.3,1.3,0.316,4.8
"1102","Guinea-Bissau",2004,"Developing",53.5,38,5,2.58,13.52999556,NA,3526,19.6,8,69,5.41,64,5,393.3138244,135345,9.4,9.3,0,7.7
"1103","Guinea-Bissau",2003,"Developing",53,38,5,2.16,2.527115422,NA,1158,19,8,65,5.62,6,4.6,36.5718585,132122,9.6,9.5,0,7.4
"1104","Guinea-Bissau",2002,"Developing",52.8,35,5,2.47,24.65761755,NA,298,18.5,8,61,5.84,57,4.1,321.481324,1293523,9.8,9.7,0,7.1
"1105","Guinea-Bissau",2001,"Developing",52.5,32,5,2.55,0.868708478,NA,126,17.9,9,56,5.4,53,3.6,39.486749,1267512,1,1,0,6.7
"1106","Guinea-Bissau",2000,"Developing",52.1,3,5,2.84,6.699418747,NA,0,17.4,9,52,4.94,49,3.1,297.7519443,1243229,1.2,1.2,0,6.4
"1118","Guyana",2004,"Developing",65.1,237,1,7.84,1.776181042,91,0,38.4,1,91,5.73,91,1.9,145.58861,751652,5.8,5.6,0.613,11.2
"1119","Guyana",2003,"Developing",65.3,237,1,7.93,16.47949015,9,0,37.8,1,91,5.97,9,2.1,986.7958173,751857,5.8,5.6,0.611,11.1
"1120","Guyana",2002,"Developing",65.3,244,1,7.73,10.9363388,91,0,37.1,1,93,5.84,91,2.3,96.8674827,751884,5.9,5.7,0.609,11
"1121","Guyana",2001,"Developing",65.4,247,1,6.71,15.54978677,85,0,36.4,1,9,5.82,85,1.7,925.582546,752263,5.9,5.7,0.606,10.9
"1122","Guyana",2000,"Developing",65.4,246,1,6.63,16.75480888,NA,0,35.7,1,79,5.85,88,1.1,946.599372,75331,5.9,5.8,0.602,10.9
"1134","Haiti",2004,"Developing",58.7,32,18,6.1,64.39853344,NA,0,37.5,24,58,5.61,55,4.3,387.9429725,9119178,4.5,4.5,0.45,8.1
"1135","Haiti",2003,"Developing",59.7,3,18,6.64,44.25687135,NA,0,36.5,25,56,5.32,53,4.6,329.782946,8976552,4.5,4.6,0.447,8.1
"1136","Haiti",2002,"Developing",59.3,33,19,6.1,50.28558223,NA,0,35.6,26,54,5.47,48,4.8,393.16327,8834733,4.6,4.7,0.444,8
"1137","Haiti",2001,"Developing",58.9,35,19,6.22,60.77815868,NA,159,34.8,27,52,5.63,45,5,413.7383164,8692567,4.7,4.7,0.443,7.9
"1138","Haiti",2000,"Developing",58.6,35,20,4.79,74.46033036,NA,992,34,28,5,6.6,41,5.1,462.486524,85492,4.8,4.8,0.439,7.8
"1150","Honduras",2004,"Developing",72.2,165,5,3.02,188.2499208,93,0,42,7,94,7.89,94,1.2,1217.657961,724153,2.6,2.5,0.571,10.4
"1151","Honduras",2003,"Developing",71.9,166,6,3.04,194.4335736,91,0,41.2,7,92,8.29,92,1.4,1157.3427,733821,2.6,2.5,0.566,10.3
"1152","Honduras",2002,"Developing",71.6,169,6,3.09,154.8636161,94,0,4.4,7,95,7.28,95,1.5,1132.8721,6863157,2.7,2.6,0.561,10.1
"1153","Honduras",2001,"Developing",71.3,171,6,2.74,15.36175284,95,0,39.6,8,99,6.88,96,1.6,113.4546,669361,2.7,2.7,0.557,9.9
"1154","Honduras",2000,"Developing",71,174,6,2.61,28.80831098,93,0,38.8,8,88,6.63,94,1.7,188.783165,6524283,2.8,2.7,0.551,9.8
"1166","Hungary",2004,"Developed",72.9,18,1,13.28,146.8608016,NA,0,58.2,1,99,8.8,99,0.1,1259.5266,117146,2.1,2.1,0.793,15.3
"1167","Hungary",2003,"Developed",72.5,184,1,13.24,1030.220271,NA,0,57.6,1,99,8.42,99,0.1,8396.25323,1129552,2.1,2.1,0.784,14.9
"1168","Hungary",2002,"Developed",72.5,184,1,13.29,8.98619805,NA,0,57.1,1,98,7.47,99,0.1,665.6443,115868,2.2,2.2,0.775,14.6
"1169","Hungary",2001,"Developed",72.3,185,1,13.18,7.601092416,NA,20,56.6,1,99,7.11,99,0.1,527.85364,1187576,2.2,2.2,0.769,14.2
"1170","Hungary",2000,"Developed",71.7,193,1,12.22,75.36251406,NA,1,56.1,1,99,7.6,99,0.1,4623.46712,121971,2.3,2.3,0.761,13.9
"1182","Iceland",2004,"Developed",88,65,0,6.79,8506.101443,NA,0,56.5,0,99,9.59,99,0.1,46917.27216,29274,1,0.9,0.873,18.3
"1183","Iceland",2003,"Developed",87,65,0,6.61,725.4853161,NA,0,55.9,0,97,1.7,97,0.1,3944.999,289521,1,0.9,0.866,17.6
"1184","Iceland",2002,"Developed",84,7,0,6.61,5948.096777,NA,0,55.4,0,95,9.86,95,0.1,31996.2172,287523,1,0.9,0.859,17.2
"1185","Iceland",2001,"Developed",80,72,0,6.37,5048.274426,NA,0,54.8,0,92,9.12,92,0.1,28585.9254,284968,1,0.9,0.854,17.1
"1186","Iceland",2000,"Developed",79.7,74,0,6.17,5809.12199,NA,0,54.2,0,98,9.28,98,0.1,31813.37344,28125,1,0.9,0.847,16.8
"1198","India",2004,"Developing",64,214,1600,1.2,27.33800857,6,55443,13,2100,58,4.22,63,0.3,621.3183767,1126135777,27.2,28.2,0.518,9.2
"1199","India",2003,"Developing",63.7,216,1700,1.19,19.4808682,NA,47147,12.6,2200,57,4.3,61,0.3,541.1352279,11827848,27.3,28.3,0.505,8.6
"1200","India",2002,"Developing",63.3,219,1700,1.1,17.81205644,NA,40044,12.2,2300,58,4.4,59,0.3,466.2842,18987112,27.4,28.4,0.499,8.4
"1201","India",2001,"Developing",62.9,222,1800,1,19.00340606,NA,51780,11.8,2400,58,4.5,59,0.3,447.138966,171477855,27.5,28.5,0.494,8.3
"1202","India",2000,"Developing",62.5,224,1800,0.93,19.26615743,NA,38835,11.4,2500,57,4.26,58,0.3,438.864634,1535912,27.7,28.6,0.489,8.3
"1214","Indonesia",2004,"Developing",65.3,213,174,0.06,55.36107207,64,29171,18.2,237,79,2.37,71,0.1,1148.56996,223614649,1.9,1.9,0.624,11
"1215","Indonesia",2003,"Developing",66.9,189,173,0.05,8.460155758,64,24457,17.5,215,8,2.53,71,0.1,164.59447,22545214,1.9,11,0.613,10.8
"1216","Indonesia",2002,"Developing",66.7,189,177,0.05,43.17867291,63,14492,16.7,222,8,2.27,7,0.1,899.5556857,2175859,11,11.1,0.608,10.6
"1217","Indonesia",2001,"Developing",66.5,188,182,0.06,33.95837125,62,3825,16,229,77,2.23,76,0.1,747.9817455,2145652,11,11.1,0.604,10.6
"1218","Indonesia",2000,"Developing",66.3,188,187,0.06,3.43334364,65,3344,15.4,237,72,1.98,75,0.1,78.92744,21154429,11,11.2,0.597,10.7
"1246","Iraq",2004,"Developing",67.2,21,30,0.32,44.12059646,62,9081,51.9,37,69,5.61,74,0.1,1391.816923,2631669,5.4,5.2,0.603,9.8
"1262","Ireland",2004,"Developed",78.3,82,0,13.32,8040.220444,NA,334,54.4,0,89,7.34,89,0.1,47631.6377,47262,0.3,0.2,0.88,17.1
"1263","Ireland",2003,"Developed",78,82,0,13.24,675.2134725,NA,584,53.6,0,86,7.5,86,0.1,4117.15532,3996521,0.3,0.2,0.87,16.8
"1264","Ireland",2002,"Developed",77.4,88,0,14.17,5092.383814,NA,243,52.9,0,83,6.85,83,0.1,32539.1937,3931947,0.3,0.3,0.862,16.5
